program_name,short_name,year
01.03.04 Прикладная математика (Анализ данных),01.03.04_АНА_2023,2023
01.03.05 Статистика (Бизнес-аналитика),01.03.05_БИЗ_2023,2023
01.04.02 Прикладная математика и информатика (Математическое моделирование и искусственный интеллект),01.04.02_МАТ_2023,2023
01.04.02 Прикладная математика и информатика (Программные средства обработки информации и управления в автоматических и человеко-машинных системах),01.04.02_ПРО_2023,2023
01.04.04 Прикладная математика (Интеллектуальный анализ данных),01.04.04_ИНТ_2023,2023
04.04.01 Химия (Медицинская и фармацевтическая химия),04.04.01_МЕД_2023,2023
04.04.01 Химия (Фундаментальная и прикладная химия),04.04.01_ФУН_2023,2023
"09.03.01 Информатика и вычислительная техника (Вычислительные машины, комплексы, системы и сети)",09.03.01_ВЫЧ_2023,2023
09.03.01 Информатика и вычислительная техника (Промышленная информатика),09.03.01_ПРО_2023,2023
09.03.03 Прикладная информатика (Информатизация организаций),09.03.03_ИНФ_2023,2023
09.03.03 Прикладная информатика (Управление данными),09.03.03_УПР_2023,2023
09.03.03 Прикладная информатика (Цифровая трансформация),09.03.03_ЦИФ_2023,2023
09.03.04 Программная инженерия (Информационные системы управления ресурсами предприятия),09.03.04_ИНФ_2023,2023
09.03.04 Программная инженерия (Разработка и дизайн компьютерных игр и мультимедийных приложений),09.03.04_РАЗ_2023,2023
09.03.04 Программная инженерия (Разработка программных продуктов и проектирование информационных систем),09.03.04_РАЗ_2023,2023
09.03.04 Программная инженерия (Системная и программная инженерия),09.03.04_СИС_2023,2023
09.03.04 Программная инженерия (Системы поддержки принятия решений),09.03.04_СИС_2023,2023
09.04.01 Информатика и вычислительная техника (Архитектура вычислительной техники и информационных систем),09.04.01_АРХ_2023,2023
09.04.01 Информатика и вычислительная техника (Искусственный интеллект в производственных системах),09.04.01_ИСК_2023,2023
09.04.02 Информационные системы и технологии (Индустриальное программирование),09.04.02_ИНД_2023,2023
09.04.02 Информационные системы и технологии (Компьютерный дизайн),09.04.02_КОМ_2023,2023
09.04.02 Информационные системы и технологии (Многоагентные интеллектуальные системы),09.04.02_МНО_2023,2023
09.04.02 Информационные системы и технологии (Системное программирование),09.04.02_СИС_2023,2023
09.04.02 Информационные системы и технологии (Технологии обработки больших данных),09.04.02_ТЕХ_2023,2023
09.04.02 Информационные системы и технологии (Управление разработкой и внедрением бизнес-приложений),09.04.02_УПР_2023,2023
09.04.03 Прикладная информатика (Корпоративные и распределенные информационные системы),09.04.03_КОР_2023,2023
09.04.04 Программная инженерия (Архитектура информационных систем),09.04.04_АРХ_2023,2023
09.04.04 Программная инженерия (Информационные системы управления ресурсами и взаимоотношениями предприятия),09.04.04_ИНФ_2023,2023
09.04.04 Программная инженерия (Системная инженерия),09.04.04_СИС_2023,2023
10.04.01 Информационная безопасность (Киберразведка и противодействие угрозам с применением технологий искусственного интеллекта),10.04.01_КИБ_2023,2023
11.03.01 Радиотехника (Радиомониторинг и телеметрия),11.03.01_РАД_2023,2023
11.03.03 Конструирование и технология электронных средств (Автоматизированное проектирование радиоэлектронных средств),11.03.03_АВТ_2023,2023
11.04.01 Радиотехника (Цифровые системы и радиоакустика),11.04.01_ЦИФ_2023,2023
11.04.02 Инфокоммуникационные технологии и системы связи (Микроволновая техника и антенны телекоммуникационных систем),11.04.02_МИК_2023,2023
11.04.03 Конструирование и технология электронных средств (Интеллектуальные системы проектирования электронных средств),11.04.03_ИНТ_2023,2023
11.04.04 Электроника и наноэлектроника (Технологии и устройства микро- и наноэлектроники),11.04.04_ТЕХ_2023,2023
11.05.01 Радиоэлектронные системы и комплексы (Радиолокационные системы и комплексы),11.05.01_РАД_2023,2023
11.05.01 Радиоэлектронные системы и комплексы (Радиоэлектронные системы передачи информации),11.05.01_РАД_2023,2023
